address,mrt,mrt_dist,num_mrt_1km,mall,mall_dist,num_mall_1km,supermarket,supermarket_dist,num_supermarket_1km,hawker_dist,num_hawker_1km,park_dist,num_park_1km,school,school_dist,num_school_1km,number_school_btw_1km_2km,cityhall_dist
316A ANCHORVALE LINK,FARMWAY LRT STATION,0.5064628931784574,6,Compass One,0.6369525631894949,1,540351,0.31717832721728645,7,0.48758768380136197,1,0.9434577336169245,1,545080,0.2056303690016504,4,13,11.755283875274415
129 BT BATOK WEST AVE 6,BUKIT BATOK MRT STATION,0.4765230426918897,1,West Mall,0.3902195639773657,1,650451,0.2925661390047518,10,0.6271136636604022,1,1.2954765548746836,0,659163,0.6743500294273389,4,5,13.441408746617618
844 JURONG WEST ST 81,PIONEER MRT STATION,0.9836083890845844,1,Pioneer Mall,0.6428836295278285,2,640962,0.35927808200218797,4,0.6908425693033048,1,0.8267065212407606,1,649076,0.5204740167530901,6,2,18.666480674791654
105 GANGSA RD,PETIR LRT STATION,0.13482557501302644,8,Bukit Panjang Plaza,0.41868952372051926,5,673443,0.33223501208347184,9,0.5318886313407281,1,0.6976574613028962,5,679002,0.2486809688244445,4,4,13.28948498011367
470A UPP SERANGOON CRES,KANGKAR LRT STATION,0.5450632861175493,2,Rivervale Plaza,0.694760788341408,1,530476,0.2678427807478001,4,1.1226275276723996,0,0.43329675870673173,1,544974,0.7393468646182074,4,9,11.003649319689005
561 CHOA CHU KANG NTH 6,YEW TEE MRT STATION,0.3059918774279918,1,Yew Tee Point,0.20623337822020715,3,689578,0.20091077658168932,3,2.0803772436809473,0,0.8836399583192478,1,689285,0.26494461493060256,4,2,16.496485630943365
345 CHOA CHU KANG LOOP,CHOA CHU KANG LRT STATION,0.2254197069584926,4,Lot One,0.24075071765328143,4,689812,0.23693417485810295,8,1.893857330191729,0,0.8088135596552853,1,689762,0.30394690142797687,2,6,15.514703088409057
131 PASIR RIS ST 11,TAMPINES EAST MRT STATION,1.0931667407947756,0,Loyang Point,0.9200213540810472,1,510440,0.42999098314195566,5,0.9879137290686782,1,0.775971288719633,2,519075,0.5032574024945947,2,7,14.126328774711856
146 PASIR RIS ST 11,TAMPINES EAST MRT STATION,0.9773897054822585,1,Loyang Point,0.6221245960059818,1,521487,0.365166231085385,6,1.4969167208555103,0,0.610093224411211,2,519075,0.2979968886612283,1,8,14.301995399615459
228 SERANGOON AVE 4,SERANGOON MRT STATION,0.679241488731137,3,NEX,0.6588281701052876,1,550253,0.2653430991666764,3,0.8474360120284878,2,0.3160848191688361,6,556095,0.4351632162678429,3,6,7.278813385757636
